date,category,amount
2024-01-01,Salary (Adult 1),4200.00
2024-01-01,Salary (Adult 2),3800.00
2024-01-02,Rent,-1800.00
2024-01-03,Groceries,-220.50
2024-01-04,Utilities,-250.75
2024-01-05,Childcare,-450.00
2024-01-06,Transportation,-65.20
2024-01-07,Entertainment,-85.00
2024-01-08,School Supplies,-120.00
2024-01-09,Groceries,-180.40
2024-01-10,Medical,-310.00
2024-01-12,Kids Activity,-75.00
2024-01-13,Groceries,-190.30
2024-01-14,Insurance,-300.00
2024-01-15,Savings,-800.00
2024-01-16,Groceries,-245.70
2024-01-17,Transportation,-72.10
2024-01-18,Utilities,-220.00
2024-01-19,Entertainment,-95.50
2024-01-20,Groceries,-210.60
2024-01-22,Childcare,-450.00
2024-01-23,Shopping,-140.00
2024-01-24,Groceries,-185.90
2024-01-26,Medical,-275.00
2024-01-27,Utilities,-260.40
2024-01-28,Groceries,-230.10
2024-01-30,Freelance,600.00
2024-02-01,Salary (Adult 1),4300.00
2024-02-01,Salary (Adult 2),3850.00
2024-02-02,Rent,-1800.00
2024-02-03,Groceries,-250.70
2024-02-04,Utilities,-295.50
2024-02-05,Childcare,-450.00
2024-02-06,Transportation,-68.40
2024-02-07,Entertainment,-120.00
2024-02-08,Groceries,-175.20
2024-02-09,School Fees,-600.00
2024-02-10,Groceries,-240.30
2024-02-11,Medical,-190.00
2024-02-12,Kids Activity,-95.00
2024-02-13,Groceries,-210.40
2024-02-14,Insurance,-300.00
2024-02-15,Savings,-850.00
2024-02-16,Groceries,-230.00
2024-02-17,Transportation,-70.20
2024-02-18,Utilities,-280.00
2024-02-19,Entertainment,-105.60
2024-02-20,Groceries,-225.40
2024-02-21,Childcare,-450.00
2024-02-22,Shopping,-185.00
2024-02-23,Groceries,-200.50
2024-02-24,Medical,-320.00
2024-02-25,Utilities,-300.00
2024-02-26,Groceries,-215.80
2024-02-28,Freelance,700.00
2024-03-01,Salary (Adult 1),4400.00
2024-03-01,Salary (Adult 2),3900.00
2024-03-02,Rent,-1850.00
2024-03-03,Groceries,-240.60
2024-03-04,Utilities,-310.00
2024-03-05,Childcare,-450.00
2024-03-06,Transportation,-71.50
2024-03-07,Entertainment,-110.20
2024-03-08,Groceries,-260.80
2024-03-09,School Supplies,-95.00
2024-03-10,Medical,-450.00
2024-03-11,Groceries,-200.40
2024-03-12,Kids Activity,-80.00
2024-03-13,Groceries,-215.90
2024-03-14,Insurance,-300.00
2024-03-15,Savings,-900.00
2024-03-16,Groceries,-275.30
2024-03-17,Transportation,-69.80
2024-03-18,Utilities,-290.40
2024-03-19,Entertainment,-125.00
2024-03-20,Groceries,-190.70
2024-03-21,Childcare,-450.00
2024-03-22,Shopping,-160.00
2024-03-23,Groceries,-225.60
2024-03-24,Medical,-210.00
2024-03-25,Utilities,-305.20
2024-03-26,Groceries,-280.00
2024-03-28,Freelance,750.00
2024-04-01,Salary (Adult 1),4450.00
2024-04-01,Salary (Adult 2),3950.00
2024-04-02,Rent,-1850.00
2024-04-03,Groceries,-260.50
2024-04-04,Utilities,-320.00
2024-04-05,Childcare,-450.00
2024-04-06,Transportation,-75.10
2024-04-07,Entertainment,-95.40
2024-04-08,Groceries,-230.20
2024-04-09,School Fees,-620.00
2024-04-10,Medical,-380.00
2024-04-11,Groceries,-245.60
2024-04-12,Kids Activity,-85.00
2024-04-13,Groceries,-270.40
2024-04-14,Insurance,-300.00
2024-04-15,Savings,-950.00
2024-04-16,Groceries,-200.30
2024-04-17,Transportation,-72.00
2024-04-18,Utilities,-335.50
2024-04-19,Entertainment,-140.00
2024-04-20,Groceries,-260.90
2024-04-21,Childcare,-450.00
2024-04-22,Shopping,-175.60
2024-04-23,Groceries,-225.20
2024-04-24,Medical,-295.00
2024-04-25,Utilities,-310.40
2024-04-26,Groceries,-280.50
2024-04-28,Freelance,800.00
